Sample Number,Species,Region,Island,paw_length,paw_depth,body_height,body_mass,gender
1,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,39.1,18.7,181,3750,MALE
2,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,39.5,17.4,186,3800,FEMALE
3,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,40.3,18,195,3250,FEMALE
4,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,,,,,
5,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,36.7,19.3,193,3450,FEMALE
6,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,39.3,20.6,190,3650,MALE
7,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,38.9,17.8,181,3625,FEMALE
8,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,39.2,19.6,195,4675,MALE
9,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,34.1,18.1,193,3475,
10,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,42,20.2,190,4250,
11,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,37.8,17.1,186,3300,
12,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,37.8,17.3,180,3700,
13,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,41.1,17.6,182,3200,FEMALE
14,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,38.6,21.2,191,3800,MALE
15,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,34.6,21.1,198,4400,MALE
16,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,36.6,17.8,185,3700,FEMALE
17,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,38.7,19,195,3450,FEMALE
18,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,42.5,20.7,197,4500,MALE
19,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,34.4,18.4,184,3325,FEMALE
20,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,46,21.5,194,4200,MALE
21,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,37.8,18.3,174,3400,FEMALE
22,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,37.7,18.7,180,3600,MALE
23,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,35.9,19.2,189,3800,FEMALE
24,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,38.2,18.1,185,3950,MALE
25,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,38.8,17.2,180,3800,MALE
26,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,35.3,18.9,187,3800,FEMALE
27,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,40.6,18.6,183,3550,MALE
28,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,40.5,17.9,187,3200,FEMALE
29,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,37.9,18.6,172,3150,FEMALE
30,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,40.5,18.9,180,3950,MALE
31,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,39.5,16.7,178,3250,FEMALE
32,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,37.2,18.1,178,3900,MALE
33,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,39.5,17.8,188,3300,FEMALE
34,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,40.9,18.9,184,3900,MALE
35,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,36.4,17,195,3325,FEMALE
36,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,39.2,21.1,196,4150,MALE
37,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,38.8,20,190,3950,MALE
38,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,42.2,18.5,180,3550,FEMALE
39,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,37.6,19.3,181,3300,FEMALE
40,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,39.8,19.1,184,4650,MALE
41,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,36.5,18,182,3150,FEMALE
42,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,40.8,18.4,195,3900,MALE
43,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,36,18.5,186,3100,FEMALE
44,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,44.1,19.7,196,4400,MALE
